age,duree_mois,type_contrat,statut_logement,incident_paiement_bam,montant_demande_mad,nouvelle_echeance_mad,revenu_mensuel_mad,taux_endettement,risque_non_approbation
67,6,FONCTIONNAIRE,PROPRIETAIRE,1,21600.0,3668.56,8200.0,0.4474,0
22,48,CDI,PROPRIETAIRE,0,110100.0,2611.02,10400.0,0.2511,1
49,12,CDI,PROPRIETAIRE,1,38800.0,3348.3,13400.0,0.24989999999999998,0
45,42,CDI,LOGEMENT_DE_FONCTION,0,145800.0,3890.62,15600.0,0.2494,0
53,24,CDI,LOGEMENT_DE_FONCTION,1,90100.0,4013.62,11500.0,0.349,1
35,36,CDI,LOGEMENT_DE_FONCTION,0,167500.0,5133.71,20500.0,0.2504,0
53,24,FONCTIONNAIRE,PROPRIETAIRE,0,52400.0,2334.22,6700.0,0.34840000000000004,0
35,36,CDI,LOCATAIRE,0,128500.0,3938.4,15800.0,0.2493,0
61,12,CDI,PROPRIETAIRE,0,56600.0,4884.38,19500.0,0.2505,0
28,30,INFORMEL,PROPRIETAIRE,1,96800.0,3504.64,7800.0,0.4493,1
25,12,CDD,LOCATAIRE,0,24000.0,2071.11,5900.0,0.35100000000000003,1
24,48,CDD,LOCATAIRE,0,79700.0,1890.08,5400.0,0.35,1
22,12,CDI,PROPRIETAIRE,0,29000.0,2502.6,16700.0,0.1499,0
60,24,FONCTIONNAIRE,PROPRIETAIRE,1,22200.0,988.93,4000.0,0.24719999999999998,1
28,15,CDI,LOCATAIRE,0,26000.0,1809.39,7200.0,0.25129999999999997,0
32,24,CDI,PROPRIETAIRE,0,23700.0,1055.75,4000.0,0.2639,1
53,24,FONCTIONNAIRE,PROPRIETAIRE,1,44800.0,1995.67,4400.0,0.4536,0
25,30,CDD,PROPRIETAIRE,0,149300.0,5405.4,21600.0,0.2502,0
44,24,FONCTIONNAIRE,LOGEMENT_DE_FONCTION,0,232700.0,10365.91,23000.0,0.4507,1
31,24,FONCTIONNAIRE,PROPRIETAIRE,0,63500.0,2828.69,8100.0,0.3492,0
48,9,CDI,PROPRIETAIRE,1,39500.0,4508.61,10000.0,0.4509,0
44,6,CDI,LOCATAIRE,0,49000.0,8322.19,33300.0,0.24989999999999998,0
48,10,CDD,LOCATAIRE,1,41500.0,4274.64,28500.0,0.15,0
44,12,CDD,PROPRIETAIRE,1,33400.0,2882.3,8200.0,0.3515,0
26,10,CDI,PROPRIETAIRE,1,38300.0,3945.03,15800.0,0.24969999999999998,0
36,6,CDI,PROPRIETAIRE,0,25400.0,4313.95,28800.0,0.14980000000000002,0
39,6,FONCTIONNAIRE,PROPRIETAIRE,0,7900.0,1341.74,4000.0,0.3354,0
42,12,CDI,LOCATAIRE,0,7600.0,655.85,4000.0,0.16399999999999998,0
34,7,CDI,PROPRIETAIRE,0,44700.0,6524.82,18600.0,0.3508,0
63,60,FONCTIONNAIRE,PROPRIETAIRE,1,126500.0,2475.12,7100.0,0.3486,1
36,18,CDD,PROPRIETAIRE,0,35400.0,2069.42,5900.0,0.3507,0
27,24,CDI,PROPRIETAIRE,0,74400.0,3314.24,13300.0,0.2492,0
30,18,CDI,PROPRIETAIRE,0,108500.0,6342.7,25400.0,0.24969999999999998,0
57,12,FONCTIONNAIRE,LOCATAIRE,1,23400.0,2019.34,4500.0,0.4487,0
33,12,CDD,PROPRIETAIRE,0,27300.0,2355.89,5200.0,0.4531,0
25,45,CDD,PROPRIETAIRE,1,87800.0,2203.81,4900.0,0.4498,1
31,48,CDI,LOGEMENT_DE_FONCTION,1,113000.0,2679.79,17900.0,0.1497,0
