secteur_activite,region,age_demandeur,statut_professionnel,revenu_mensuel_mad,charges_mensuelles_mad,montant_demande_mad,duree_credit_mois,anciennete_professionnelle_annees,credits_existants,incidents_paiement_24_mois,ratio_endettement,type_garantie,type_credit,defaut_paiement
TECH,Casablanca-Settat,32,INDEPENDANT,3449,611,44140,84,10,5,1,0.203,AUCUNE,CONSOMMATION,0
INDUSTRIE,Drâa-Tafilalet,39,RETRAITE,5538,3175,23719,120,20,1,0,0.597,AUCUNE,AUTO,0
TECH,Marrakech-Safi,72,SALARIE_CDI,5180,1725,21304,60,45,1,1,0.334,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Drâa-Tafilalet,24,SALARIE_CDI,5993,2650,120043,24,3,4,0,0.431,AUCUNE,CONSOMMATION,1
SERVICES,Oriental,24,FONCTIONNAIRE,9274,5691,35485,12,3,5,0,0.573,HYPOTHEQUE,PROFESSIONNEL,0
AGRICULTURE,Marrakech-Safi,37,SALARIE_CDD,10337,1707,39278,84,16,3,2,0.199,NANTISSEMENT,CONSOMMATION,1
TECH,Souss-Massa,55,FONCTIONNAIRE,5151,3266,65576,36,28,5,0,0.515,AUCUNE,CONSOMMATION,1
TECH,Casablanca-Settat,68,FONCTIONNAIRE,5680,2344,67100,60,45,3,0,0.418,CAUTION,CONSOMMATION,1
SERVICES,Drâa-Tafilalet,53,INDEPENDANT,13195,7130,28106,48,34,2,3,0.552,AUCUNE,CONSOMMATION,1
INDUSTRIE,Fès-Meknès,49,SALARIE_CDI,17455,6747,75521,24,28,0,0,0.375,HYPOTHEQUE,IMMOBILIER,0
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,72,SALARIE_CDD,14259,7956,26524,36,45,2,0,0.599,AUCUNE,IMMOBILIER,0
AGRICULTURE,Rabat-Salé-Kénitra,28,INDEPENDANT,3863,2280,73967,120,1,0,0,0.639,CAUTION,CONSOMMATION,1
COMMERCE,Tanger-Tétouan-Al Hoceïma,74,SALARIE_CDD,13839,4717,15311,36,45,1,0,0.351,NANTISSEMENT,PROFESSIONNEL,0
TECH,Tanger-Tétouan-Al Hoceïma,37,FONCTIONNAIRE,18660,9541,29298,84,18,2,0,0.627,HYPOTHEQUE,PROFESSIONNEL,1
INDUSTRIE,Marrakech-Safi,35,SALARIE_CDI,3778,2453,42439,60,10,5,0,0.614,HYPOTHEQUE,PROFESSIONNEL,1
SERVICES,Dakhla-Oued Ed-Dahab,78,SALARIE_CDI,13190,6972,46749,48,45,5,0,0.505,CAUTION,AUTO,1
COMMERCE,Fès-Meknès,58,SALARIE_CDD,8967,5635,20120,84,38,3,0,0.608,AUCUNE,CONSOMMATION,0
SERVICES,Marrakech-Safi,45,SALARIE_CDD,6994,3625,11451,48,25,2,0,0.575,CAUTION,CONSOMMATION,0
TECH,Oriental,38,INDEPENDANT,8500,2677,50122,60,14,2,2,0.333,AUCUNE,PROFESSIONNEL,0
COMMERCE,Fès-Meknès,45,FONCTIONNAIRE,9892,5575,31423,36,23,5,0,0.467,NANTISSEMENT,CONSOMMATION,1
TECH,Souss-Massa,67,INDEPENDANT,13642,6591,27625,120,45,2,0,0.467,NANTISSEMENT,AUTO,0
INDUSTRIE,Drâa-Tafilalet,27,INDEPENDANT,13329,2220,115622,24,7,5,1,0.137,HYPOTHEQUE,CONSOMMATION,0
AGRICULTURE,Casablanca-Settat,28,SALARIE_CDI,4113,972,29581,48,10,2,0,0.321,AUCUNE,CONSOMMATION,0
AGRICULTURE,Oriental,37,SALARIE_CDI,6052,1698,25290,120,19,0,0,0.24,AUCUNE,IMMOBILIER,0
