age_inscription,note_admission,note_qualification_precedente,unites_validees_s1,moyenne_s1,unites_validees_s2,moyenne_s2,taux_chomage,taux_inflation,pib,sexe,boursier,frais_a_jour,debiteur,deplace,international,decrochage
20,127.3,122.0,0,0.0,0,0.0,10.8,1.4,1.74,HOMME,NON,OUI,NON,OUI,NON,1
19,142.5,160.0,6,14.0,6,13.666666666666666,13.9,-0.3,0.79,HOMME,NON,NON,NON,OUI,NON,0
19,124.8,122.0,0,0.0,0,0.0,10.8,1.4,1.74,HOMME,NON,NON,NON,OUI,NON,1
20,119.6,122.0,6,13.428571428571429,5,12.4,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,0
45,141.5,100.0,5,12.333333333333334,6,13.0,13.9,-0.3,0.79,FEMME,NON,OUI,NON,NON,NON,0
50,114.8,133.1,5,11.857142857142858,5,11.5,16.2,0.3,-0.92,HOMME,NON,OUI,OUI,NON,NON,0
18,128.4,142.0,7,13.3,8,14.345,15.5,2.8,-4.06,FEMME,OUI,OUI,NON,OUI,NON,0
22,113.1,119.0,0,0.0,0,0.0,15.5,2.8,-4.06,HOMME,NON,NON,NON,OUI,NON,1
21,129.3,137.0,6,13.875,6,14.142857142857142,16.2,0.3,-0.92,FEMME,OUI,OUI,NON,NON,OUI,0
18,123.0,138.0,5,11.4,2,13.5,8.9,1.4,3.51,FEMME,NON,NON,OUI,OUI,NON,1
18,130.6,139.0,6,12.333333333333334,5,14.2,13.9,-0.3,0.79,FEMME,NON,OUI,NON,OUI,NON,0
18,119.3,136.0,7,13.214285714285714,7,13.214285714285714,12.7,3.7,-1.7,FEMME,OUI,OUI,NON,OUI,NON,0
19,130.2,133.0,0,0.0,0,0.0,12.7,3.7,-1.7,FEMME,NON,OUI,NON,OUI,NON,1
21,111.8,110.0,6,10.571428571428571,5,11.0,8.9,1.4,3.51,FEMME,OUI,OUI,NON,OUI,NON,0
18,137.1,149.0,4,13.25,5,12.0,10.8,1.4,1.74,FEMME,OUI,OUI,NON,OUI,NON,0
20,120.7,127.0,5,13.2,0,0.0,15.5,2.8,-4.06,FEMME,NON,OUI,NON,OUI,NON,1
18,137.4,137.0,1,12.0,2,11.0,10.8,1.4,1.74,FEMME,NON,OUI,NON,OUI,NON,0
18,127.3,135.0,7,13.30625,8,14.545,15.5,2.8,-4.06,FEMME,NON,OUI,NON,OUI,NON,0
20,136.3,137.0,4,12.5,4,12.25,10.8,1.4,1.74,FEMME,NON,OUI,NON,OUI,NON,0
18,124.6,140.0,6,11.666666666666666,6,13.5,16.2,0.3,-0.92,FEMME,NON,OUI,NON,OUI,NON,0
21,120.3,122.0,0,0.0,0,0.0,11.1,0.6,2.02,FEMME,OUI,OUI,NON,NON,NON,0
20,121.8,127.0,7,11.4375,8,11.425,12.7,3.7,-1.7,FEMME,NON,OUI,NON,OUI,NON,0
18,125.5,142.0,7,12.857142857142858,7,12.857142857142858,12.7,3.7,-1.7,FEMME,NON,OUI,NON,OUI,NON,0
19,114.9,125.0,6,13.375,6,12.285714285714286,11.1,0.6,2.02,FEMME,OUI,OUI,NON,OUI,NON,0
19,123.9,126.0,6,13.296666666666669,7,14.114285714285714,11.1,0.6,2.02,FEMME,NON,OUI,NON,NON,NON,0
18,157.0,151.0,5,11.6,4,11.0,7.6,2.6,0.32,FEMME,OUI,OUI,OUI,OUI,NON,0
21,116.4,115.0,6,11.375,6,13.285714285714286,16.2,0.3,-0.92,FEMME,NON,OUI,NON,OUI,NON,0
18,131.0,138.0,5,12.666666666666666,4,13.0,9.4,-0.8,-3.12,FEMME,NON,OUI,NON,OUI,NON,0
20,122.1,135.0,5,12.0,5,12.333333333333334,16.2,0.3,-0.92,FEMME,NON,OUI,NON,OUI,NON,0
19,118.8,127.0,6,12.933333333333332,6,13.716666666666669,16.2,0.3,-0.92,HOMME,NON,OUI,NON,OUI,NON,0
21,150.0,150.0,5,11.857142857142858,5,10.571428571428571,16.2,0.3,-0.92,HOMME,NON,OUI,NON,NON,NON,0
20,130.0,125.0,6,12.833333333333334,4,13.4,8.9,1.4,3.51,HOMME,NON,OUI,NON,OUI,NON,0
18,138.8,143.0,3,11.333333333333334,2,13.5,8.9,1.4,3.51,HOMME,NON,NON,NON,NON,NON,0
19,134.5,138.0,6,12.666666666666666,6,14.375,12.4,0.5,1.79,FEMME,NON,OUI,NON,OUI,NON,0
