region,type_etablissement,filiere,niveau_etude,moyenne_semestre_1,moyenne_semestre_2,taux_absence,modules_non_valides,participation,bourse,distance_logement_km,acces_internet,activite_professionnelle,historique_redoublement,situation_academique,decrochage
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,LETTRES,L3,10.57,10.24,10.5,2,MOYENNE,OUI,13.1,OUI,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,IUT,ECONOMIE,L3,10.35,9.26,17.9,4,ELEVEE,OUI,0.1,OUI,NON,NON,NORMALE,0
Guelmim-Oued Noun,ECOLE_INGENIEUR,DROIT,M1,8.53,6.86,3.4,2,ELEVEE,NON,5.0,OUI,NON,NON,NORMALE,0
Oriental,UNIVERSITE_PUBLIQUE,ECONOMIE,L2,13.61,14.71,23.4,2,FAIBLE,NON,5.2,OUI,NON,NON,NORMALE,0
Oriental,IUT,INFORMATIQUE,M2,15.95,16.72,34.9,2,ELEVEE,OUI,8.9,NON,NON,NON,DIFFICULTE,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,SCIENCES,L2,8.03,6.17,15.5,3,FAIBLE,OUI,17.0,OUI,NON,NON,DIFFICULTE,1
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,MEDECINE,L1,14.54,13.87,11.3,7,FAIBLE,OUI,2.2,OUI,NON,NON,NORMALE,1
Guelmim-Oued Noun,IUT,INFORMATIQUE,L3,12.15,16.94,31.1,2,MOYENNE,NON,6.0,NON,NON,NON,DIFFICULTE,0
Dakhla-Oued Ed-Dahab,FACULTE,DROIT,M1,17.3,18.17,11.7,6,ELEVEE,NON,3.0,OUI,OUI,NON,NORMALE,0
Oriental,UNIVERSITE_PUBLIQUE,INFORMATIQUE,L1,12.08,12.72,30.7,2,ELEVEE,OUI,5.7,NON,NON,NON,NORMALE,0
Marrakech-Safi,UNIVERSITE_PUBLIQUE,LETTRES,L3,16.2,15.75,18.1,6,ELEVEE,NON,0.2,NON,NON,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,MEDECINE,M2,10.43,11.53,40.4,7,FAIBLE,OUI,5.6,OUI,OUI,NON,DIFFICULTE,1
Fès-Meknès,IUT,INGENIERIE,L3,10.56,7.25,10.2,4,MOYENNE,NON,8.8,OUI,NON,NON,NORMALE,1
Rabat-Salé-Kénitra,IUT,MEDECINE,L1,7.64,4.95,26.3,0,MOYENNE,NON,11.7,OUI,OUI,NON,DIFFICULTE,1
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,MEDECINE,L3,12.69,12.92,30.2,1,MOYENNE,OUI,4.2,OUI,OUI,NON,NORMALE,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,SCIENCES,L2,7.39,7.67,6.0,2,FAIBLE,OUI,5.4,OUI,NON,OUI,NORMALE,1
Guelmim-Oued Noun,UNIVERSITE_PUBLIQUE,LETTRES,L1,16.29,16.69,22.8,7,FAIBLE,OUI,9.3,OUI,OUI,OUI,NORMALE,0
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,INGENIERIE,L1,6.56,7.12,8.0,5,FAIBLE,OUI,30.9,NON,NON,NON,NORMALE,1
Oriental,UNIVERSITE_PRIVEE,DROIT,M2,11.71,12.32,19.5,2,MOYENNE,NON,0.3,OUI,NON,NON,REDOUBLEMENT,1
Guelmim-Oued Noun,ECOLE_INGENIEUR,INGENIERIE,M2,9.44,8.02,25.7,1,MOYENNE,OUI,20.2,OUI,NON,NON,DIFFICULTE,1
Drâa-Tafilalet,ECOLE_INGENIEUR,ECONOMIE,M1,8.35,9.45,12.3,2,MOYENNE,OUI,9.5,OUI,OUI,NON,NORMALE,0
Rabat-Salé-Kénitra,IUT,SCIENCES,M2,11.8,12.06,15.1,5,MOYENNE,NON,4.2,NON,OUI,NON,REORIENTATION,0
Marrakech-Safi,IUT,INFORMATIQUE,M2,17.21,17.25,11.3,4,MOYENNE,OUI,2.8,OUI,NON,OUI,NORMALE,0
Fès-Meknès,ECOLE_INGENIEUR,LETTRES,L2,12.74,13.07,17.8,7,MOYENNE,NON,18.7,OUI,NON,NON,DIFFICULTE,1
Oriental,ECOLE_INGENIEUR,SCIENCES,L1,10.34,12.91,50.1,2,MOYENNE,NON,1.8,OUI,NON,NON,DIFFICULTE,0
Marrakech-Safi,UNIVERSITE_PRIVEE,SCIENCES,L1,5.19,6.97,19.8,6,MOYENNE,NON,6.4,OUI,NON,NON,DIFFICULTE,1
Marrakech-Safi,IUT,ECONOMIE,L2,9.98,12.19,9.6,0,MOYENNE,NON,14.6,OUI,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,FACULTE,ECONOMIE,M1,6.58,7.14,10.1,4,ELEVEE,NON,4.7,NON,NON,NON,NORMALE,1
Drâa-Tafilalet,ECOLE_INGENIEUR,INGENIERIE,M2,17.18,16.27,38.7,7,ELEVEE,NON,4.9,NON,OUI,NON,NORMALE,1
Marrakech-Safi,UNIVERSITE_PRIVEE,DROIT,L2,12.29,10.32,15.2,4,FAIBLE,NON,7.2,OUI,NON,NON,DIFFICULTE,1
Guelmim-Oued Noun,FACULTE,INFORMATIQUE,M2,17.7,19.15,19.9,2,FAIBLE,NON,16.9,OUI,NON,NON,REORIENTATION,0
Béni Mellal-Khénifra,IUT,ECONOMIE,L2,14.24,14.38,16.0,2,MOYENNE,NON,6.0,OUI,NON,OUI,DIFFICULTE,0
Oriental,IUT,SCIENCES,M1,7.15,5.3,27.6,5,MOYENNE,OUI,15.6,OUI,NON,NON,NORMALE,1
Souss-Massa,UNIVERSITE_PRIVEE,SCIENCES,L1,8.25,8.42,10.0,1,MOYENNE,NON,20.4,OUI,NON,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,MEDECINE,L1,9.31,12.6,25.5,3,FAIBLE,NON,23.2,NON,NON,NON,NORMALE,0
Fès-Meknès,FACULTE,MEDECINE,M2,12.23,10.34,38.3,1,FAIBLE,NON,6.0,OUI,OUI,NON,REORIENTATION,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PUBLIQUE,ECONOMIE,M2,6.73,5.37,28.3,1,MOYENNE,OUI,8.6,OUI,OUI,NON,REDOUBLEMENT,0
Rabat-Salé-Kénitra,UNIVERSITE_PUBLIQUE,MEDECINE,L3,12.84,16.31,40.5,7,ELEVEE,OUI,8.3,OUI,NON,NON,NORMALE,0
Oriental,ECOLE_INGENIEUR,INFORMATIQUE,L1,12.52,11.48,29.0,7,MOYENNE,NON,0.8,OUI,NON,OUI,DIFFICULTE,1
Marrakech-Safi,FACULTE,INGENIERIE,L3,7.96,6.69,16.2,2,FAIBLE,NON,9.4,OUI,OUI,OUI,REDOUBLEMENT,1
Rabat-Salé-Kénitra,UNIVERSITE_PRIVEE,INFORMATIQUE,L3,7.3,8.0,6.4,4,FAIBLE,NON,10.6,OUI,OUI,NON,NORMALE,0
Oriental,IUT,DROIT,L3,11.69,14.59,19.3,0,ELEVEE,NON,17.8,OUI,NON,NON,REDOUBLEMENT,0
Rabat-Salé-Kénitra,IUT,LETTRES,M1,8.71,8.28,12.8,6,ELEVEE,OUI,24.7,OUI,NON,NON,NORMALE,0
Marrakech-Safi,IUT,LETTRES,L3,13.73,12.43,30.9,4,FAIBLE,NON,4.5,OUI,NON,NON,NORMALE,1
Béni Mellal-Khénifra,IUT,INFORMATIQUE,M2,13.89,16.15,2.2,6,FAIBLE,NON,3.7,OUI,NON,OUI,NORMALE,1
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,DROIT,M2,13.21,13.21,2.1,4,MOYENNE,OUI,15.8,OUI,NON,NON,REORIENTATION,0
Dakhla-Oued Ed-Dahab,IUT,ECONOMIE,L1,14.25,12.25,18.8,3,MOYENNE,NON,6.0,OUI,NON,NON,REORIENTATION,1
Fès-Meknès,IUT,SCIENCES,L3,12.09,11.05,10.5,0,MOYENNE,NON,29.6,OUI,NON,OUI,NORMALE,0
Rabat-Salé-Kénitra,UNIVERSITE_PRIVEE,ECONOMIE,L1,13.09,14.6,27.6,3,MOYENNE,OUI,9.8,OUI,NON,OUI,DIFFICULTE,0
Souss-Massa,IUT,ECONOMIE,L3,9.47,9.9,7.9,5,MOYENNE,OUI,10.6,NON,NON,NON,DIFFICULTE,0
Casablanca-Settat,IUT,SCIENCES,L3,11.82,12.99,28.5,6,MOYENNE,NON,6.4,OUI,NON,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,LETTRES,M1,11.74,12.94,14.2,7,ELEVEE,OUI,2.5,NON,OUI,NON,DIFFICULTE,1
Rabat-Salé-Kénitra,UNIVERSITE_PRIVEE,INFORMATIQUE,L2,15.42,14.33,5.5,0,FAIBLE,OUI,1.7,OUI,OUI,NON,NORMALE,0
Drâa-Tafilalet,FACULTE,INGENIERIE,M2,13.27,13.77,13.1,6,MOYENNE,OUI,51.0,OUI,NON,NON,NORMALE,0
Béni Mellal-Khénifra,UNIVERSITE_PUBLIQUE,SCIENCES,L2,16.74,14.57,13.3,5,MOYENNE,NON,7.2,NON,NON,NON,NORMALE,0
Béni Mellal-Khénifra,UNIVERSITE_PUBLIQUE,SCIENCES,M1,8.3,9.55,39.0,0,MOYENNE,OUI,63.5,OUI,NON,NON,DIFFICULTE,0
Drâa-Tafilalet,IUT,INGENIERIE,L1,8.38,7.15,14.7,6,FAIBLE,NON,5.2,OUI,NON,NON,DIFFICULTE,1
Drâa-Tafilalet,FACULTE,SCIENCES,L1,13.66,11.92,18.0,0,MOYENNE,OUI,5.3,OUI,NON,OUI,NORMALE,0
Béni Mellal-Khénifra,FACULTE,INGENIERIE,M1,3.87,3.06,34.6,6,MOYENNE,OUI,2.4,NON,OUI,NON,DIFFICULTE,1
Fès-Meknès,UNIVERSITE_PRIVEE,LETTRES,L1,13.05,14.21,17.3,7,FAIBLE,NON,16.7,OUI,OUI,NON,NORMALE,1
Rabat-Salé-Kénitra,IUT,SCIENCES,M1,16.9,15.92,16.6,1,MOYENNE,NON,1.2,OUI,OUI,NON,REDOUBLEMENT,0
Drâa-Tafilalet,UNIVERSITE_PRIVEE,INGENIERIE,L3,11.88,12.2,6.5,4,ELEVEE,NON,8.2,OUI,NON,OUI,NORMALE,0
Oriental,ECOLE_INGENIEUR,SCIENCES,L1,13.25,13.0,7.2,5,MOYENNE,OUI,4.1,NON,NON,OUI,NORMALE,0
Souss-Massa,FACULTE,LETTRES,L1,15.3,15.18,30.5,5,ELEVEE,OUI,8.8,OUI,NON,NON,NORMALE,0
Fès-Meknès,UNIVERSITE_PRIVEE,INGENIERIE,L3,11.88,10.95,21.1,2,ELEVEE,NON,0.8,NON,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,IUT,MEDECINE,L2,7.51,6.08,28.4,7,ELEVEE,NON,10.4,NON,NON,NON,NORMALE,1
Béni Mellal-Khénifra,UNIVERSITE_PUBLIQUE,MEDECINE,L2,20.0,20.0,29.5,4,FAIBLE,OUI,14.1,NON,NON,NON,DIFFICULTE,1
Marrakech-Safi,FACULTE,INFORMATIQUE,L2,13.33,13.14,46.3,3,ELEVEE,NON,12.1,NON,NON,NON,NORMALE,0
Casablanca-Settat,FACULTE,INGENIERIE,M2,10.78,10.67,14.1,3,FAIBLE,NON,1.7,NON,NON,OUI,DIFFICULTE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,MEDECINE,L1,14.12,14.41,17.8,6,MOYENNE,OUI,11.4,OUI,OUI,NON,NORMALE,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PRIVEE,LETTRES,L1,16.85,16.71,2.5,7,FAIBLE,OUI,41.1,OUI,NON,NON,NORMALE,1
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,INGENIERIE,L1,11.84,14.31,23.4,7,FAIBLE,NON,10.3,OUI,NON,NON,REDOUBLEMENT,0
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,DROIT,L2,12.17,11.61,33.9,3,MOYENNE,NON,18.2,OUI,NON,NON,REDOUBLEMENT,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,LETTRES,M2,11.88,13.47,10.6,6,MOYENNE,NON,0.3,OUI,NON,NON,NORMALE,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,INFORMATIQUE,L2,13.32,11.74,48.3,1,MOYENNE,NON,6.9,OUI,NON,NON,DIFFICULTE,0
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,MEDECINE,L2,5.79,5.14,38.9,6,MOYENNE,NON,4.5,OUI,OUI,NON,NORMALE,1
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,ECONOMIE,L1,13.37,13.13,6.9,7,ELEVEE,NON,19.9,OUI,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PUBLIQUE,LETTRES,M2,10.3,7.19,21.6,5,MOYENNE,NON,26.0,OUI,NON,NON,NORMALE,0
Béni Mellal-Khénifra,IUT,ECONOMIE,M2,7.91,10.28,31.9,1,ELEVEE,NON,2.7,OUI,OUI,NON,NORMALE,0
Drâa-Tafilalet,IUT,ECONOMIE,L2,13.29,13.88,6.7,3,MOYENNE,NON,12.8,OUI,NON,NON,DIFFICULTE,0
Souss-Massa,UNIVERSITE_PRIVEE,SCIENCES,L3,8.92,7.99,18.2,6,FAIBLE,OUI,31.3,NON,OUI,NON,NORMALE,1
Casablanca-Settat,UNIVERSITE_PUBLIQUE,INGENIERIE,L3,10.02,6.31,34.3,3,MOYENNE,NON,23.8,OUI,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PRIVEE,SCIENCES,L3,10.91,9.89,28.6,6,ELEVEE,NON,26.2,OUI,NON,NON,DIFFICULTE,1
Casablanca-Settat,ECOLE_INGENIEUR,DROIT,M1,10.88,10.99,9.1,1,MOYENNE,NON,6.8,OUI,NON,NON,DIFFICULTE,0
Casablanca-Settat,UNIVERSITE_PUBLIQUE,ECONOMIE,L2,9.81,8.53,35.6,5,MOYENNE,NON,3.5,NON,NON,NON,DIFFICULTE,1
Tanger-Tétouan-Al Hoceïma,IUT,LETTRES,L2,7.78,8.84,35.5,1,FAIBLE,OUI,8.3,NON,NON,NON,DIFFICULTE,1
Fès-Meknès,UNIVERSITE_PUBLIQUE,MEDECINE,M1,6.41,4.75,54.9,6,FAIBLE,NON,8.8,OUI,OUI,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,ECONOMIE,L2,10.08,11.82,23.1,0,MOYENNE,OUI,3.0,NON,OUI,NON,DIFFICULTE,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,INGENIERIE,M2,13.54,13.38,6.8,0,MOYENNE,OUI,19.6,OUI,NON,NON,NORMALE,0
Casablanca-Settat,ECOLE_INGENIEUR,SCIENCES,L1,11.18,9.29,24.3,4,MOYENNE,OUI,5.6,OUI,NON,NON,DIFFICULTE,0
Souss-Massa,ECOLE_INGENIEUR,SCIENCES,L1,12.72,12.43,16.3,6,FAIBLE,NON,6.0,OUI,OUI,OUI,NORMALE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,LETTRES,L3,9.79,9.75,10.0,3,FAIBLE,NON,9.3,OUI,OUI,NON,NORMALE,1
Béni Mellal-Khénifra,IUT,ECONOMIE,M2,15.59,19.28,25.2,4,FAIBLE,NON,19.9,OUI,NON,NON,DIFFICULTE,0
Guelmim-Oued Noun,IUT,SCIENCES,M1,10.04,11.19,18.8,0,MOYENNE,OUI,10.1,OUI,NON,NON,DIFFICULTE,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PUBLIQUE,INFORMATIQUE,L3,5.14,4.36,19.0,6,MOYENNE,NON,4.0,OUI,NON,NON,REDOUBLEMENT,1
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,LETTRES,L3,8.63,8.24,23.9,2,MOYENNE,NON,8.9,OUI,NON,NON,NORMALE,1
Marrakech-Safi,ECOLE_INGENIEUR,ECONOMIE,L2,13.89,16.44,17.0,1,MOYENNE,NON,26.2,OUI,NON,OUI,NORMALE,0
Marrakech-Safi,UNIVERSITE_PUBLIQUE,MEDECINE,L1,11.97,9.62,29.6,7,MOYENNE,OUI,7.1,OUI,NON,OUI,NORMALE,0
Laâyoune-Sakia El Hamra,IUT,MEDECINE,L2,15.02,14.21,3.3,6,MOYENNE,NON,0.8,OUI,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PRIVEE,LETTRES,M1,13.42,14.23,4.0,6,ELEVEE,NON,4.1,OUI,OUI,NON,NORMALE,0
Fès-Meknès,FACULTE,ECONOMIE,L1,10.97,9.69,36.0,4,MOYENNE,NON,4.6,OUI,NON,NON,DIFFICULTE,1
Fès-Meknès,UNIVERSITE_PUBLIQUE,ECONOMIE,L1,7.91,9.96,14.4,1,FAIBLE,OUI,1.9,OUI,OUI,NON,REORIENTATION,0
Souss-Massa,IUT,DROIT,L2,11.17,11.1,9.6,1,FAIBLE,OUI,21.8,OUI,OUI,OUI,REDOUBLEMENT,0
Oriental,UNIVERSITE_PUBLIQUE,ECONOMIE,L1,10.33,8.37,26.6,2,ELEVEE,OUI,13.5,OUI,NON,NON,DIFFICULTE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,MEDECINE,L2,8.02,7.79,2.4,3,MOYENNE,OUI,26.0,NON,NON,NON,NORMALE,0
Béni Mellal-Khénifra,FACULTE,INGENIERIE,L1,12.51,11.57,28.5,5,MOYENNE,NON,3.0,OUI,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,UNIVERSITE_PRIVEE,MEDECINE,L1,10.28,11.22,19.9,0,ELEVEE,OUI,11.5,NON,NON,NON,DIFFICULTE,0
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,INGENIERIE,M1,14.16,14.62,14.5,0,MOYENNE,NON,48.2,OUI,NON,NON,DIFFICULTE,0
Oriental,UNIVERSITE_PRIVEE,SCIENCES,L2,16.38,14.56,11.9,6,MOYENNE,NON,9.0,NON,NON,NON,DIFFICULTE,1
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,INFORMATIQUE,L2,8.79,7.78,13.6,1,FAIBLE,NON,0.9,OUI,NON,NON,NORMALE,1
Marrakech-Safi,UNIVERSITE_PRIVEE,INGENIERIE,M2,12.92,12.53,20.4,1,MOYENNE,NON,41.7,OUI,OUI,NON,REDOUBLEMENT,1
Laâyoune-Sakia El Hamra,UNIVERSITE_PRIVEE,ECONOMIE,L1,10.2,9.45,14.1,3,MOYENNE,OUI,9.3,OUI,NON,NON,NORMALE,0
Guelmim-Oued Noun,IUT,LETTRES,L3,6.58,7.97,9.9,7,MOYENNE,OUI,2.0,OUI,NON,OUI,NORMALE,0
Souss-Massa,UNIVERSITE_PUBLIQUE,DROIT,L3,11.61,9.63,25.5,6,MOYENNE,NON,23.7,OUI,NON,NON,NORMALE,1
Béni Mellal-Khénifra,IUT,LETTRES,L3,6.91,8.68,21.2,6,FAIBLE,OUI,24.0,OUI,NON,NON,DIFFICULTE,1
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PUBLIQUE,LETTRES,L2,11.36,12.11,6.0,6,MOYENNE,NON,21.6,OUI,NON,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,INGENIERIE,L2,13.01,10.51,25.3,2,MOYENNE,NON,7.5,OUI,NON,NON,NORMALE,1
