amount,monthlyIncome,companyAgeYears,paymentIncidents,debtRatio,sector,approved,dataset_source
12803.269905049261,10133.0,0.0,5.0,0.46426467201097454,SERVICES,0,synthetic
14242.247107408934,5050.0,18.0,4.0,0.5146361615351748,TECH,0,synthetic
74652.42321756916,23446.0,5.0,2.0,0.29957141194648934,TECH,0,synthetic
27268.06069959525,25173.0,17.0,0.0,0.0658676473551725,COMMERCE,1,synthetic
18266.090079349593,27951.0,14.0,0.0,0.5158784396803204,COMMERCE,1,synthetic
68220.27030060755,33465.0,5.0,1.0,0.09727750974955884,AGRICULTURE,1,synthetic
62313.99895630401,19418.0,11.0,2.0,0.3006946290508571,SERVICES,0,synthetic
82506.89709620566,29703.0,0.0,5.0,0.21148991103687176,TECH,0,synthetic
77477.33669212527,26205.0,17.0,0.0,0.1854061974722811,INDUSTRIE,1,synthetic
24051.84532987771,12593.0,7.0,3.0,0.36464501822972767,SERVICES,0,synthetic
39931.09951443271,30198.0,9.0,2.0,0.2866689398901948,COMMERCE,1,synthetic
13348.010303807641,5653.0,3.0,0.0,0.3269862236902196,AGRICULTURE,0,synthetic
27422.7915780772,22565.0,9.0,3.0,0.12764705647549446,TECH,1,synthetic
100835.68456769225,33150.0,9.0,4.0,0.22388875519380094,TECH,0,synthetic
29053.04866902751,24427.0,5.0,5.0,0.13456975302389498,TECH,0,synthetic
50213.839534314444,33048.0,24.0,3.0,0.22013926180338025,TECH,1,synthetic
13046.484596509179,5740.0,6.0,1.0,0.23218566626988862,COMMERCE,0,synthetic
45180.25171387377,20504.0,4.0,5.0,0.5266456259807194,SERVICES,0,synthetic
73398.62750573896,28198.0,13.0,1.0,0.2110917228296889,AGRICULTURE,0,synthetic
48564.582448937304,23911.0,7.0,4.0,0.05,COMMERCE,0,synthetic
116363.42832096136,31296.0,11.0,5.0,0.459263730598118,COMMERCE,0,synthetic
63085.36950651751,18340.0,18.0,0.0,0.3173889061039035,INDUSTRIE,1,synthetic
89994.73051589838,25160.0,1.0,5.0,0.2303484348169916,SERVICES,0,synthetic
45988.67569450348,17012.0,12.0,1.0,0.18441769497083577,AGRICULTURE,0,synthetic
84493.64734059044,31035.0,0.0,2.0,0.10796115159146716,TECH,0,synthetic
20273.168916930827,7702.0,1.0,1.0,0.5407072145629738,TECH,0,synthetic
24016.416857222725,11877.0,2.0,0.0,0.2577767332990055,COMMERCE,0,synthetic
11389.9696551442,6999.0,4.0,4.0,0.05,AGRICULTURE,0,synthetic
66267.84038292049,25765.0,8.0,2.0,0.29916100499278625,COMMERCE,0,synthetic
6609.099075847036,11214.0,23.0,3.0,0.43092575530522614,COMMERCE,1,synthetic
7276.454660579169,13831.0,22.0,2.0,0.27346520025302457,COMMERCE,1,synthetic
104196.1432456761,29935.0,2.0,4.0,0.11476097917070299,INDUSTRIE,0,synthetic
10046.572236684242,15165.0,24.0,5.0,0.10133885709630144,SERVICES,1,synthetic
19909.39138294253,8520.0,15.0,3.0,0.11240216084211471,COMMERCE,0,synthetic
12333.925842005474,4650.0,13.0,0.0,0.4782486995570427,AGRICULTURE,0,synthetic
13161.81952166309,11027.0,19.0,1.0,0.23925039171447632,SERVICES,1,synthetic
117612.29945224106,32355.0,12.0,2.0,0.05,AGRICULTURE,0,synthetic
24480.196569913398,21007.0,6.0,0.0,0.3076200888766696,AGRICULTURE,1,synthetic
125274.16175703652,34839.0,13.0,1.0,0.2711555178360328,INDUSTRIE,0,synthetic
33825.701142299535,10669.0,18.0,1.0,0.18266567996750033,TECH,1,synthetic
19998.03202460004,14895.0,17.0,5.0,0.09693898658667835,SERVICES,0,synthetic
9309.06990803296,9059.0,4.0,2.0,0.0904157650340687,TECH,1,synthetic
26269.81002592165,16349.0,23.0,5.0,0.4129950723199507,TECH,0,synthetic
40623.852686524224,21462.0,7.0,3.0,0.28712692837076464,INDUSTRIE,0,synthetic
39516.51722939579,29051.0,20.0,3.0,0.32179654969926763,SERVICES,0,synthetic
61580.215682069815,15410.0,7.0,5.0,0.286713821437018,AGRICULTURE,0,synthetic
36397.714947801345,27917.0,1.0,4.0,0.2991533057367733,COMMERCE,0,synthetic
79763.06454884038,23410.0,24.0,1.0,0.17974080048576385,AGRICULTURE,1,synthetic
13788.475449898076,13046.0,14.0,1.0,0.21912559682788355,TECH,1,synthetic
126880.17605129961,32278.0,5.0,3.0,0.42473677081375644,TECH,0,synthetic
22513.027867783305,17461.0,0.0,0.0,0.46218852517286685,TECH,0,synthetic
17150.898294325532,8680.0,3.0,0.0,0.06668620183603743,SERVICES,1,synthetic
83083.69299069191,33843.0,4.0,0.0,0.2187611750338326,INDUSTRIE,0,synthetic
29763.03609844509,32316.0,23.0,4.0,0.3758928038490497,COMMERCE,0,synthetic
18591.34675723889,5535.0,4.0,2.0,0.5323119598323596,COMMERCE,0,synthetic
46731.167474872134,31977.0,4.0,0.0,0.5172939371996125,SERVICES,0,synthetic
80832.13326825511,33368.0,20.0,4.0,0.13063632775802506,COMMERCE,0,synthetic
71986.85833990044,29701.0,21.0,3.0,0.44125691773087383,SERVICES,0,synthetic
31060.420138501504,11904.0,5.0,4.0,0.2587954453160525,TECH,0,synthetic
16361.622257370505,23569.0,16.0,0.0,0.4066624958313607,TECH,1,synthetic
22550.076809700935,20685.0,13.0,5.0,0.368241802123193,AGRICULTURE,0,synthetic
24714.350273782733,23224.0,14.0,1.0,0.060405393615285546,TECH,1,synthetic
35984.85893844322,23109.0,7.0,3.0,0.33249609349407633,INDUSTRIE,0,synthetic
23986.457259534774,23815.0,18.0,3.0,0.4008544886753933,AGRICULTURE,0,synthetic
74288.52862910142,19934.0,22.0,1.0,0.2469767117458252,COMMERCE,0,synthetic
58313.12735333858,25405.0,18.0,2.0,0.21305253590400686,INDUSTRIE,0,synthetic
54519.39455668275,20324.0,22.0,0.0,0.05,AGRICULTURE,1,synthetic
7897.950848659337,4510.0,2.0,2.0,0.3525426274826401,INDUSTRIE,0,synthetic
7470.72558699999,5093.0,16.0,4.0,0.28131225517208663,SERVICES,0,synthetic
76199.74722888952,33700.0,24.0,1.0,0.11167241279348716,COMMERCE,1,synthetic
49248.77743811884,32186.0,13.0,3.0,0.20112400046854,TECH,0,synthetic
37721.25867442013,22153.0,23.0,5.0,0.2731754873691659,SERVICES,0,synthetic
19620.519300230575,9412.0,8.0,1.0,0.16620463164209942,COMMERCE,1,synthetic
64072.666622724515,28225.0,22.0,1.0,0.2504015691264837,SERVICES,1,synthetic
